案件名,カテゴリ,業務名
ながものや龍月,システム開発,仕様策定
ながものや龍月,システム開発,サーバー管理
ながものや龍月,システム開発,ドメイン管理
ながものや龍月,システム開発,コーディング
ながものや龍月,連絡・問い合わせ,社内連絡
ながものや龍月,連絡・問い合わせ,社外連絡
ながものや龍月,資料作成,提案資料（社外用）
ながものや龍月,資料作成,共有資料（社内用）
ながものや龍月,ミーティング,社内MTG
ながものや龍月,ミーティング,社外MTG
ながものや龍月,ミーティング,議事録作成
ながものや龍月,見積り,工数見積り
ながものや龍月,見積り,費用見積り
ながものや龍月,レクチャー,実施
ながものや龍月,レクチャー,受講
日報,日報入力,日報入力
日報,業務マスタ,更新
日報,集計,集計
日報,連絡・問い合わせ,社内連絡
日報,連絡・問い合わせ,社外連絡
日報,資料作成,提案資料（社外用）
日報,資料作成,共有資料（社内用）
日報,ミーティング,社内MTG
日報,ミーティング,社外MTG
日報,ミーティング,議事録作成
日報,レクチャー,実施
日報,レクチャー,受講
ネクストナビ,保守,ページ更新
ネクストナビ,保守,会報誌更新
ネクストナビ,デザイン,デザイン
ネクストナビ,コーディング,WP組み込み
ネクストナビ,コーディング,コーディング
ネクストナビ,コーディング,フォーム設置
ネクストナビ,システム開発,調査
ネクストナビ,システム開発,仕様策定
ネクストナビ,システム開発,サーバー管理
ネクストナビ,システム開発,ドメイン管理
ネクストナビ,システム開発,コーディング
ネクストナビ,連絡・問い合わせ,社内連絡
ネクストナビ,連絡・問い合わせ,社外連絡
ネクストナビ,資料作成,提案資料（社外用）
ネクストナビ,資料作成,共有資料（社内用）
ネクストナビ,ミーティング,社内MTG
ネクストナビ,ミーティング,社外MTG
ネクストナビ,ミーティング,議事録作成
ネクストナビ,レクチャー,実施
ネクストナビ,レクチャー,受講
福利厚生,整体,整体
福利厚生,整体,整体調整
福利厚生,コーヒーブレイク,企画
福利厚生,コーヒーブレイク,コーヒーブレイク
福利厚生,コーヒーブレイク,報告
福利厚生,懇親会準備,企画
福利厚生,懇親会準備,買い出し
福利厚生,懇親会準備,ミーティング
福利厚生,年末,納会
福利厚生,連絡・問い合わせ,社内連絡
福利厚生,連絡・問い合わせ,社外連絡
福利厚生,資料作成,提案資料（社外用）
福利厚生,資料作成,共有資料（社内用）
福利厚生,ミーティング,社内MTG
福利厚生,ミーティング,社外MTG
福利厚生,ミーティング,議事録作成
福利厚生,レクチャー,実施
福利厚生,レクチャー,受講
ブリヂストンKBG,デザイン,デザイン
ブリヂストンKBG,コーディング,WP組み込み
ブリヂストンKBG,コーディング,コーディング
ブリヂストンKBG,コーディング,フォーム設置
ブリヂストンKBG,保守,ページ更新
ブリヂストンKBG,連絡・問い合わせ,社内連絡
ブリヂストンKBG,連絡・問い合わせ,社外連絡
ブリヂストンKBG,資料作成,提案資料（社外用）
ブリヂストンKBG,資料作成,共有資料（社内用）
ブリヂストンKBG,ミーティング,社内MTG
ブリヂストンKBG,ミーティング,社外MTG
ブリヂストンKBG,ミーティング,議事録作成
ブリヂストンKBG,見積り,工数見積り
ブリヂストンKBG,見積り,費用見積り
ブリヂストンKBG,レクチャー,実施
ブリヂストンKBG,レクチャー,受講
マジシャンほっしーさん,管理,顧客管理
マジシャンほっしーさん,管理,タスク管理
マジシャンほっしーさん,アンケート,アンケート作成
マジシャンほっしーさん,アンケート,集計
マジシャンほっしーさん,名刺作成,名刺作成
マジシャンほっしーさん,名刺作成,確認
マジシャンほっしーさん,名刺作成,出稿
マジシャンほっしーさん,保守,ページ更新
マジシャンほっしーさん,デザイン,デザイン・構成検討
マジシャンほっしーさん,コーディング,コーディング
マジシャンほっしーさん,コーディング,フォーム設置
マジシャンほっしーさん,アクセス解析,設定・調査
マジシャンほっしーさん,アクセス解析,分析
マジシャンほっしーさん,アクセス解析,レポート作成
マジシャンほっしーさん,広告,設定・調査
マジシャンほっしーさん,広告,分析
マジシャンほっしーさん,広告,レポート作成
マジシャンほっしーさん,連絡・問い合わせ,社内連絡
マジシャンほっしーさん,連絡・問い合わせ,社外連絡
マジシャンほっしーさん,資料作成,営業資料
マジシャンほっしーさん,資料作成,セミナー資料
マジシャンほっしーさん,資料作成,共有資料（社内用）
マジシャンほっしーさん,ミーティング,社内MTG
マジシャンほっしーさん,ミーティング,社外MTG
マジシャンほっしーさん,ミーティング,議事録作成
マジシャンほっしーさん,レクチャー,実施
マジシャンほっしーさん,レクチャー,受講
ミラビス,保守,ページ更新
ミラビス,保守,メーカー・ブランド更新
ミラビス,保守,エムチョクカレンダー更新
ミラビス,システム開発,調査
ミラビス,システム開発,仕様策定
ミラビス,システム開発,サーバー管理
ミラビス,システム開発,ドメイン管理
ミラビス,システム開発,コーディング
ミラビス,デザイン,デザイン
ミラビス,コーディング,WP組み込み
ミラビス,コーディング,コーディング
ミラビス,コーディング,フォーム設置
ミラビス,プラットフォーム開発,テスト
ミラビス,ドキュメント更新,内容整理
ミラビス,ドキュメント更新,ドキュメント更新
ミラビス,連絡・問い合わせ,社内連絡
ミラビス,連絡・問い合わせ,社外連絡
ミラビス,資料作成,提案資料（社外用）
ミラビス,資料作成,共有資料（社内用）
ミラビス,ミーティング,社内MTG
ミラビス,ミーティング,社内MTG準備
ミラビス,ミーティング,社外MTG
ミラビス,ミーティング,社外MTG準備
ミラビス,ミーティング,議事録作成
ミラビス,見積り,工数見積り
ミラビス,見積り,費用見積り
ミラビス,レクチャー,実施
ミラビス,レクチャー,受講
メディカルダイエット,対応,受注
メディカルダイエット,対応,発送手配
メディカルダイエット,対応,診療同席
メディカルダイエット,対応,在庫管理
メディカルダイエット,保守,ページ更新
メディカルダイエット,コーディング,フォーム設置
メディカルダイエット,連絡・問い合わせ,社内連絡
メディカルダイエット,連絡・問い合わせ,社外連絡
メディカルダイエット,資料作成,提案資料（社外用）
メディカルダイエット,資料作成,共有資料（社内用）
メディカルダイエット,ミーティング,社内MTG
メディカルダイエット,ミーティング,社外MTG
メディカルダイエット,ミーティング,議事録作成
メディカルダイエット,レクチャー,実施
メディカルダイエット,レクチャー,受講
メディカ出版,保守,ページ更新
メディカ出版,デザイン,デザイン
メディカ出版,コーディング,WP組み込み
メディカ出版,コーディング,コーディング
メディカ出版,コーディング,フォーム設置
メディカ出版,システム開発,調査
メディカ出版,システム開発,仕様策定
メディカ出版,システム開発,サーバー管理
メディカ出版,システム開発,ドメイン管理
メディカ出版,システム開発,コーディング
メディカ出版,連絡・問い合わせ,社内連絡
メディカ出版,連絡・問い合わせ,社外連絡
メディカ出版,資料作成,提案資料（社外用）
メディカ出版,資料作成,共有資料（社内用）
メディカ出版,ミーティング,社内MTG
メディカ出版,ミーティング,社外MTG
メディカ出版,ミーティング,議事録作成
メディカ出版,見積り,工数見積り
メディカ出版,見積り,費用見積り
メディカ出版,レクチャー,実施
メディカ出版,レクチャー,受講
やまびこ弁天,保守,ページ更新
やまびこ弁天,デザイン,デザイン
やまびこ弁天,コーディング,WP組み込み
やまびこ弁天,コーディング,コーディング
やまびこ弁天,コーディング,フォーム設置
やまびこ弁天,システム開発,調査
やまびこ弁天,システム開発,仕様策定
やまびこ弁天,システム開発,サーバー管理
やまびこ弁天,システム開発,ドメイン管理
やまびこ弁天,システム開発,コーディング
やまびこ弁天,連絡・問い合わせ,社内連絡
やまびこ弁天,連絡・問い合わせ,社外連絡
やまびこ弁天,資料作成,提案資料（社外用）
やまびこ弁天,資料作成,共有資料（社内用）
やまびこ弁天,ミーティング,社内MTG
やまびこ弁天,ミーティング,社外MTG
やまびこ弁天,ミーティング,議事録作成
やまびこ弁天,見積り,工数見積り
やまびこ弁天,見積り,費用見積り
やまびこ弁天,レクチャー,実施
やまびこ弁天,レクチャー,受講
ラグラン銀座,制作,バナー
ラグラン銀座,制作,動画
ラグラン銀座,制作,特集記事
ラグラン銀座,保守,ページ更新
ラグラン銀座,保守,診療カレンダー
ラグラン銀座,デザイン,デザイン
ラグラン銀座,コーディング,WP組み込み
ラグラン銀座,コーディング,コーディング
ラグラン銀座,コーディング,フォーム設置
ラグラン銀座,請求,請求書作成
ラグラン銀座,請求,請求書送付
ラグラン銀座,請求,工数表入力
ラグラン銀座,請求,月別費用まとめ
ラグラン銀座,SNS,投稿作成
ラグラン銀座,SNS,更新
ラグラン銀座,アクセス解析,設定・調査
ラグラン銀座,アクセス解析,分析
ラグラン銀座,アクセス解析,レポート作成
ラグラン銀座,広告,設定・調査
ラグラン銀座,広告,分析
ラグラン銀座,広告,レポート作成
ラグラン銀座,連絡・問い合わせ,社内連絡
ラグラン銀座,連絡・問い合わせ,社外連絡
ラグラン銀座,資料作成,提案資料（社外用）
ラグラン銀座,資料作成,共有資料（社内用）
ラグラン銀座,ミーティング,社内MTG
ラグラン銀座,ミーティング,社外MTG
ラグラン銀座,ミーティング,議事録作成
ラグラン銀座,レクチャー,実施
ラグラン銀座,レクチャー,受講
ロカリオ,保守,ページ更新
ロカリオ,デザイン,デザイン
ロカリオ,コーディング,WP組み込み
ロカリオ,コーディング,コーディング
ロカリオ,コーディング,フォーム設置
ロカリオ,システム開発,調査
ロカリオ,システム開発,仕様策定
ロカリオ,システム開発,サーバー管理
ロカリオ,システム開発,ドメイン管理
ロカリオ,システム開発,コーディング
ロカリオ,連絡・問い合わせ,社内連絡
ロカリオ,連絡・問い合わせ,社外連絡
ロカリオ,資料作成,提案資料（社外用）
ロカリオ,資料作成,共有資料（社内用）
ロカリオ,ミーティング,社内MTG
ロカリオ,ミーティング,社外MTG
ロカリオ,ミーティング,議事録作成
ロカリオ,見積り,工数見積り
ロカリオ,見積り,費用見積り
ロカリオ,レクチャー,実施
ロカリオ,レクチャー,受講
ロフティ（ジョブティ）,システム開発,調査
ロフティ（ジョブティ）,システム開発,仕様策定
ロフティ（ジョブティ）,システム開発,サーバー管理
ロフティ（ジョブティ）,システム開発,ドメイン管理
ロフティ（ジョブティ）,システム開発,コーディング
ロフティ（ジョブティ）,連絡・問い合わせ,社内連絡
ロフティ（ジョブティ）,連絡・問い合わせ,社外連絡
ロフティ（ジョブティ）,資料作成,提案資料（社外用）
ロフティ（ジョブティ）,資料作成,共有資料（社内用）
ロフティ（ジョブティ）,ミーティング,社内MTG
ロフティ（ジョブティ）,ミーティング,社外MTG
ロフティ（ジョブティ）,ミーティング,議事録作成
ロフティ（ジョブティ）,見積り,工数見積り
ロフティ（ジョブティ）,見積り,費用見積り
ロフティ（ジョブティ）,レクチャー,実施
ロフティ（ジョブティ）,レクチャー,受講
引っ越し,引っ越し,調査
引っ越し,引っ越し,レイアウト
引っ越し,引っ越し,仕分け・荷造り
引っ越し,契約,帳票作成・確認
引っ越し,契約,各種手続き
引っ越し,連絡・問い合わせ,社内連絡
引っ越し,連絡・問い合わせ,社外連絡
引っ越し,資料作成,提案資料（社外用）
引っ越し,資料作成,共有資料（社内用）
引っ越し,ミーティング,社内MTG
引っ越し,ミーティング,社外MTG
引っ越し,ミーティング,議事録作成
引っ越し,レクチャー,実施
引っ越し,レクチャー,受講
休憩,休憩,休憩
求人対応,求人情報,更新・修正
求人対応,面接,面接
求人対応,連絡・問い合わせ,社内連絡
求人対応,連絡・問い合わせ,社外連絡
求人対応,資料作成,提案資料（社外用）
求人対応,資料作成,共有資料（社内用）
求人対応,ミーティング,社内MTG
求人対応,ミーティング,社外MTG
求人対応,ミーティング,議事録作成
求人対応,レクチャー,実施
求人対応,レクチャー,受講
近鉄ゴルフ,保守,ページ更新
近鉄ゴルフ,デザイン,デザイン
近鉄ゴルフ,コーディング,WP組み込み
近鉄ゴルフ,コーディング,コーディング
近鉄ゴルフ,コーディング,フォーム設置
近鉄ゴルフ,システム開発,調査
近鉄ゴルフ,システム開発,仕様策定
近鉄ゴルフ,システム開発,サーバー管理
近鉄ゴルフ,システム開発,ドメイン管理
近鉄ゴルフ,システム開発,コーディング
近鉄ゴルフ,連絡・問い合わせ,社内連絡
近鉄ゴルフ,連絡・問い合わせ,社外連絡
近鉄ゴルフ,資料作成,提案資料（社外用）
近鉄ゴルフ,資料作成,共有資料（社内用）
近鉄ゴルフ,ミーティング,社内MTG
近鉄ゴルフ,ミーティング,社外MTG
近鉄ゴルフ,ミーティング,議事録作成
近鉄ゴルフ,見積り,工数見積り
近鉄ゴルフ,見積り,費用見積り
近鉄ゴルフ,レクチャー,実施
近鉄ゴルフ,レクチャー,受講
契約,NDA（秘密保持契約書）,NDA作成
契約,NDA（秘密保持契約書）,送付
契約,業務委託契約書,業務委託契約書作成
契約,業務委託契約書,送付
契約,書類管理,保管
契約,連絡・問い合わせ,社内連絡
契約,連絡・問い合わせ,社外連絡
契約,資料作成,提案資料（社外用）
契約,資料作成,共有資料（社内用）
契約,ミーティング,社内MTG
契約,ミーティング,社外MTG
契約,ミーティング,議事録作成
契約,レクチャー,実施
契約,レクチャー,受講
経理,債務登録,債務登録
経理,工数集計,工数集計
経理,見積書,見積書作成
経理,見積書,見積書送付
経理,発注書,発注書作成
経理,発注書,発注書送付
経理,請求書,請求書作成
経理,請求書,請求書送付
経理,領収書,領収書作成
経理,領収書,領収書送付
経理,連絡・問い合わせ,社内連絡
経理,連絡・問い合わせ,社外連絡
経理,資料作成,提案資料（社外用）
経理,資料作成,共有資料（社内用）
経理,ミーティング,社内MTG
経理,ミーティング,社外MTG
経理,ミーティング,議事録作成
経理,レクチャー,実施
経理,レクチャー,受講
三幸学園,保守,ページ更新
三幸学園,デザイン,デザイン
三幸学園,コーディング,WP組み込み
三幸学園,コーディング,コーディング
三幸学園,コーディング,フォーム設置
三幸学園,システム開発,調査
三幸学園,システム開発,仕様策定
三幸学園,システム開発,サーバー管理
三幸学園,システム開発,ドメイン管理
三幸学園,システム開発,コーディング
三幸学園,連絡・問い合わせ,社内連絡
三幸学園,連絡・問い合わせ,社外連絡
三幸学園,資料作成,提案資料（社外用）
三幸学園,資料作成,共有資料（社内用）
三幸学園,ミーティング,社内MTG
三幸学園,ミーティング,社外MTG
三幸学園,ミーティング,議事録作成
三幸学園,見積り,工数見積り
三幸学園,見積り,費用見積り
三幸学園,レクチャー,実施
三幸学園,レクチャー,受講
三洋貿易,デザイン,デザイン
三洋貿易,コーディング,WP組み込み
三洋貿易,コーディング,コーディング
三洋貿易,コーディング,フォーム設置
三洋貿易,保守,ページ更新
三洋貿易,連絡・問い合わせ,社内連絡
三洋貿易,連絡・問い合わせ,社外連絡
三洋貿易,資料作成,提案資料（社外用）
三洋貿易,資料作成,共有資料（社内用）
三洋貿易,ミーティング,社内MTG
三洋貿易,ミーティング,社外MTG
三洋貿易,ミーティング,議事録作成
三洋貿易,見積り,工数見積り
三洋貿易,見積り,費用見積り
三洋貿易,レクチャー,実施
三洋貿易,レクチャー,受講
志多木組,依頼対応,内容整理
志多木組,依頼対応,メール設定
志多木組,連絡・問い合わせ,社内連絡
志多木組,連絡・問い合わせ,社外連絡
志多木組,資料作成,提案資料（社外用）
志多木組,資料作成,共有資料（社内用）
志多木組,ミーティング,社内MTG
志多木組,ミーティング,社外MTG
志多木組,ミーティング,議事録作成
志多木組,レクチャー,実施
志多木組,レクチャー,受講
事務作業,飲食物手配,弁当注文
事務作業,飲食物手配,コーヒー当番
事務作業,飲食物手配,ご飯準備
事務作業,備品管理,備品注文
事務作業,備品管理,端末管理
事務作業,備品管理,在庫管理
事務作業,掃除,掃除
事務作業,掃除,大掃除
事務作業,手配,交通手段
事務作業,手配,宿泊先
事務作業,連絡・問い合わせ,来客対応
事務作業,連絡・問い合わせ,電話対応
事務作業,連絡・問い合わせ,各種確認（メール、Teamsなど）
事務作業,連絡・問い合わせ,社内連絡
事務作業,連絡・問い合わせ,社外連絡
事務作業,資料作成,提案資料（社外用）
事務作業,資料作成,共有資料（社内用）
事務作業,ミーティング,社内MTG
事務作業,ミーティング,社外MTG
事務作業,ミーティング,議事録作成
事務作業,レクチャー,実施
事務作業,レクチャー,受講
社内人事（人材育成/管理）,タスク管理,タスク管理表更新
社内人事（人材育成/管理）,引き継ぎ,資料作成
社内人事（人材育成/管理）,引き継ぎ,ミーティング
社内人事（人材育成/管理）,研修,受講
社内人事（人材育成/管理）,研修,実施
社内人事（人材育成/管理）,新人対応,実施
社内人事（人材育成/管理）,新人対応,受講
社内人事（人材育成/管理）,新人対応,入社時レクチャ
社内人事（人材育成/管理）,新人対応,受け入れ準備
社内人事（人材育成/管理）,連絡・問い合わせ,社内連絡
社内人事（人材育成/管理）,連絡・問い合わせ,社外連絡
社内人事（人材育成/管理）,資料作成,提案資料（社外用）
社内人事（人材育成/管理）,資料作成,共有資料（社内用）
社内人事（人材育成/管理）,ミーティング,社内MTG
社内人事（人材育成/管理）,ミーティング,社外MTG
社内人事（人材育成/管理）,ミーティング,議事録作成
終礼,終礼,終礼
新規案件,保守,ページ更新
新規案件,デザイン,デザイン
新規案件,コーディング,WP組み込み
新規案件,コーディング,コーディング
新規案件,コーディング,フォーム設置
新規案件,システム開発,調査
新規案件,システム開発,仕様策定
新規案件,システム開発,サーバー管理
新規案件,システム開発,ドメイン管理
新規案件,システム開発,コーディング
新規案件,アクセス解析,設定・調査
新規案件,アクセス解析,分析
新規案件,アクセス解析,レポート作成
新規案件,広告,設定・調査
新規案件,広告,分析
新規案件,広告,レポート作成
新規案件,連絡・問い合わせ,社内連絡
新規案件,連絡・問い合わせ,社外連絡
新規案件,資料作成,提案資料（社外用）
新規案件,資料作成,共有資料（社内用）
新規案件,ミーティング,社内MTG
新規案件,ミーティング,社外MTG
新規案件,ミーティング,議事録作成
新規案件,見積り,工数見積り
新規案件,見積り,費用見積り
新規案件,レクチャー,実施
新規案件,レクチャー,受講
人材ドラフトLP,保守,ページ更新
人材ドラフトLP,デザイン,デザイン
人材ドラフトLP,コーディング,WP組み込み
人材ドラフトLP,コーディング,コーディング
人材ドラフトLP,コーディング,フォーム設置
人材ドラフトLP,連絡・問い合わせ,社内連絡
人材ドラフトLP,連絡・問い合わせ,社外連絡
人材ドラフトLP,資料作成,提案資料（社外用）
人材ドラフトLP,資料作成,共有資料（社内用）
人材ドラフトLP,ミーティング,社内MTG
人材ドラフトLP,ミーティング,社外MTG
人材ドラフトLP,ミーティング,議事録作成
人材ドラフトLP,見積り,工数見積り
人材ドラフトLP,見積り,費用見積り
人材ドラフトLP,レクチャー,実施
人材ドラフトLP,レクチャー,受講
鶴田石材,システム開発,調査
鶴田石材,システム開発,仕様策定
鶴田石材,システム開発,サーバー管理
鶴田石材,システム開発,ドメイン管理
鶴田石材,システム開発,コーディング
鶴田石材,連絡・問い合わせ,社内連絡
鶴田石材,連絡・問い合わせ,社外連絡
鶴田石材,資料作成,提案資料（社外用）
鶴田石材,資料作成,共有資料（社内用）
鶴田石材,ミーティング,社内MTG
鶴田石材,ミーティング,社外MTG
鶴田石材,ミーティング,議事録作成
鶴田石材,見積り,工数見積り
鶴田石材,見積り,費用見積り
鶴田石材,レクチャー,実施
鶴田石材,レクチャー,受講
東洋アソシエイツ,システム開発,調査
東洋アソシエイツ,システム開発,仕様策定
東洋アソシエイツ,システム開発,サーバー管理
東洋アソシエイツ,システム開発,ドメイン管理
東洋アソシエイツ,システム開発,コーディング
東洋アソシエイツ,連絡・問い合わせ,社内連絡
東洋アソシエイツ,連絡・問い合わせ,社外連絡
東洋アソシエイツ,資料作成,提案資料（社外用）
東洋アソシエイツ,資料作成,共有資料（社内用）
東洋アソシエイツ,ミーティング,社内MTG
東洋アソシエイツ,ミーティング,社外MTG
東洋アソシエイツ,ミーティング,議事録作成
東洋アソシエイツ,見積り,工数見積り
東洋アソシエイツ,見積り,費用見積り
東洋アソシエイツ,レクチャー,実施
東洋アソシエイツ,レクチャー,受講
日本管財,保守,ページ更新
日本管財,デザイン,デザイン
日本管財,コーディング,WP組み込み
日本管財,コーディング,コーディング
日本管財,コーディング,フォーム設置
日本管財,連絡・問い合わせ,社内連絡
日本管財,連絡・問い合わせ,社外連絡
日本管財,資料作成,提案資料（社外用）
日本管財,資料作成,共有資料（社内用）
日本管財,ミーティング,社内MTG
日本管財,ミーティング,社外MTG
日本管財,ミーティング,議事録作成
日本管財,見積り,工数見積り
日本管財,見積り,費用見積り
日本管財,レクチャー,実施
日本管財,レクチャー,受講
日本教育クリエイト,チェック作業,データエクスポート・チェック作業
日本教育クリエイト,チェック作業,不具合対応
日本教育クリエイト,保守,ページ更新
日本教育クリエイト,デザイン,デザイン
日本教育クリエイト,コーディング,WP組み込み
日本教育クリエイト,コーディング,コーディング
日本教育クリエイト,コーディング,フォーム設置
日本教育クリエイト,システム開発,調査
日本教育クリエイト,システム開発,仕様策定
日本教育クリエイト,システム開発,サーバー管理
日本教育クリエイト,システム開発,ドメイン管理
日本教育クリエイト,システム開発,コーディング
日本教育クリエイト,連絡・問い合わせ,社内連絡
日本教育クリエイト,連絡・問い合わせ,社外連絡
日本教育クリエイト,資料作成,提案資料（社外用）
日本教育クリエイト,資料作成,共有資料（社内用）
日本教育クリエイト,ミーティング,社内MTG
日本教育クリエイト,ミーティング,社外MTG
日本教育クリエイト,ミーティング,議事録作成
日本教育クリエイト,見積り,工数見積り
日本教育クリエイト,見積り,費用見積り
日本教育クリエイト,レクチャー,実施
日本教育クリエイト,レクチャー,受講
発注ナビ,エントリー,デイリーチェック
発注ナビ,顧客整理,CRM登録
発注ナビ,連絡・問い合わせ,社内連絡
発注ナビ,連絡・問い合わせ,社外連絡
発注ナビ,資料作成,提案資料（社外用）
発注ナビ,資料作成,共有資料（社内用）
発注ナビ,ミーティング,社内MTG
発注ナビ,ミーティング,社外MTG
発注ナビ,ミーティング,議事録作成
発注ナビ,レクチャー,実施
発注ナビ,レクチャー,受講
北陸職業能力開発大学校,保守,内容整理
北陸職業能力開発大学校,保守,HP更新作業
北陸職業能力開発大学校,保守,社内チェック作業
北陸職業能力開発大学校,月次作業,アクセス解析レポート
北陸職業能力開発大学校,月次作業,業務完了報告書
北陸職業能力開発大学校,連絡・問い合わせ,社内連絡
北陸職業能力開発大学校,連絡・問い合わせ,社外連絡
北陸職業能力開発大学校,資料作成,提案資料（社外用）
北陸職業能力開発大学校,資料作成,共有資料（社内用）
北陸職業能力開発大学校,ミーティング,社内MTG
北陸職業能力開発大学校,ミーティング,社外MTG
北陸職業能力開発大学校,ミーティング,議事録作成
北陸職業能力開発大学校,レクチャー,実施
北陸職業能力開発大学校,レクチャー,受講
凡人社,外部イベント,更新作業
凡人社,外部イベント,チェック作業
凡人社,凡のイベント,更新作業
凡人社,凡のイベント,チェック作業
凡人社,キャンペーンメール配信,更新作業
凡人社,キャンペーンメール配信,チェック作業
凡人社,法人ECサイト,レイメイさん連絡
凡人社,法人ECサイト,メール連絡
凡人社,保守,ページ更新
凡人社,保守,チェック作業
凡人社,デザイン,デザイン
凡人社,コーディング,WP組み込み
凡人社,コーディング,コーディング
凡人社,コーディング,フォーム設置
凡人社,連絡・問い合わせ,社内連絡
凡人社,連絡・問い合わせ,社外連絡
凡人社,資料作成,提案資料（社外用）
凡人社,資料作成,共有資料（社内用）
凡人社,ミーティング,社内MTG
凡人社,ミーティング,社外MTG
凡人社,レクチャー,実施
凡人社,レクチャー,受講
薬剤師関連,連絡・問い合わせ,社内連絡
薬剤師関連,連絡・問い合わせ,社外連絡
老施連,保守,内容整理
老施連,保守,HP更新作業
老施連,依頼対応,メール設定
老施連,連絡・問い合わせ,社内連絡
老施連,連絡・問い合わせ,社外連絡
老施連,資料作成,提案資料（社外用）
老施連,資料作成,共有資料（社内用）
老施連,ミーティング,社内MTG
老施連,ミーティング,社外MTG
老施連,ミーティング,議事録作成
老施連,レクチャー,実施
老施連,レクチャー,受講
老施連,レクチャー,実施
老施連,レクチャー,受講
